address,epoch_245_confirmation_minus_effective_reward_gnk,epoch_246_confirmation_minus_effective_reward_gnk,epoch_247_confirmation_minus_effective_reward_gnk,epoch_248_confirmation_minus_effective_reward_gnk,epoch_249_confirmation_minus_effective_reward_gnk,epoch_250_confirmation_minus_effective_reward_gnk,epoch_251_confirmation_minus_effective_reward_gnk,epoch_252_confirmation_minus_effective_reward_gnk,epoch_253_confirmation_minus_effective_reward_gnk,epoch_254_confirmation_minus_effective_reward_gnk,epoch_255_confirmation_minus_effective_reward_gnk,total_confirmation_minus_effective_reward_gnk
gonka188qynuf5zs5966vzlrf2q2tj7h7laa995vrxr3,0E-9,-775.050648169,0,,,,,,,,,-775.050648169
gonka16q0zaetd6hq6d8zj48ur0v967xrrwh566kcazc,0E-9,-779.791985739,0E-9,0,0,,,,,,,-779.791985739
gonka10g4ak0ku3lezt0q3kk346updcyyz83369pqtgx,0E-9,-782.32069911,0,,,,,,,,,-782.320699110
gonka19dh0tamdjnhtccfdpmsnty3gxfpp0wkdusl0xr,-801.595880788,0E-9,0E-9,,,,,,,,,-801.595880788
gonka1lswsj2x7u4606wqpunmm07skgf76r3dyz4v0d8,0E-8,0E-9,-824.385775333,0,0,,,,,,,-824.385775333
gonka15sptlamre9vq4m5t7pa7je5r2pc34kmlwvj0jz,-855.222676391,0,0,,,0,,,,,,-855.222676391
gonka105qfr38n0rz0d2r8hererw9ws5qx7njcujezvu,-862.70548508,0,,,,,,,,,,-862.70548508
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,-290.270620386,-294.279018534,-303.480884474,0,,,,,,,,-888.030523394
gonka125xgn4z89quhrjhv6qfgn83wqwlaykxs8upjrt,-462.687003924,-469.076330295,0,,,,,,,,,-931.763334219
gonka168yvlgt9jg86frg2z90cc8w4pz9hnd7f8lshux,-464.869489792,-471.288954494,0,0,,,,,,,,-936.158444286
gonka1369ax8kr4ma8zu708jr3x2r902lfs8tcguyxl8,-530.344065819,-537.667680479,0,,,,,,,,,-1068.011746298
gonka1cckj93kp9kegry64scpn4ew9965g3qrswyshl9,0E-9,-566.431795073,-584.143657334,0,,,,,,,,-1150.575452407
gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,0E-8,-682.436520962,-703.775756800,0E-9,0E-9,0E-9,0E-9,83.680606985,78.295425285,5.014231709,66.161084155,-1153.060929628
gonka1c6y9p4w87equy52va4us3qzycz9w28ua9693gl,-643.833330932,-652.724138854,,,,,,,,,,-1296.557469786
gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,-660.046083091,0E-8,-693.018647038,0,0E-9,0E-8,0E-9,0E-8,0.347979668,16.714105699,4.829276216,-1331.173368546
gonka14zg378dzun4p2zhyuaq59y2q0e340wzahgz97q,-681.870941767,-691.287017759,0,,,,,,,,,-1373.157959526
gonka129ks6ra4ddy8ppsfk0gr8yu24sqk3nanmm34cs,-700.577963489,-710.252368041,0,,,,,,,,,-1410.830331530
gonka1fp8zl07qccdzuekns2q55jgmcag40kjrm8z0z9,-721.467471079,0E-9,-722.030246091,0,,,,,,,,-1443.497717170
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,-856.158027478,-861.342991951,0E-9,0E-9,0E-9,0E-9,0E-8,0.000000,27.490393766,111.984508183,102.622119584,-1475.403997896
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,-824.356090550,-835.739769070,0E-9,0E-9,0E-7,0E-9,71.152525665,0E-9,27.838373435,76.884886215,0E-9,-1484.220074305
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,-726.144226509,0E-9,-799.285852557,0,0,,,,,,,-1525.430079066
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,-789.124532973,0E-9,-779.40149815,0,0,,,,,,,-1568.526031123
gonka17fcahf38xh8ghzyyrc55tarz9nd0vw6xd29nsk,-529.720498428,-537.035502137,-553.828166189,0,,,,,,,,-1620.584166754
